ACC.NS,ACC Ltd.
ADANIENT.NS,Adani Enterprises Ltd.
ADANIGREEN.NS,Adani Green Energy Ltd.
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.
ADANITRANS.NS,Adani Transmission Ltd.
AMBUJACEM.NS,Ambuja Cements Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
ATGL.NS,Adani Total Gas Ltd.
AXISBANK.NS,Axis Bank Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BANDHANBNK.NS,Bandhan Bank Ltd.
BANKBARODA.NS,Bank of Baroda
BEL.NS,Bharat Electronics Ltd.
BERGEPAINT.NS,Berger Paints India Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
BIOCON.NS,Biocon Ltd.
BOSCHLTD.NS,Bosch Ltd.
BPCL.NS,Bharat Petroleum Corporation Ltd.
BRITANNIA.NS,Britannia Industries Ltd.
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.
CIPLA.NS,Cipla Ltd.
COALINDIA.NS,Coal India Ltd.
COLPAL.NS,Colgate Palmolive (India) Ltd.
DABUR.NS,Dabur India Ltd.
DIVISLAB.NS,Divi's Laboratories Ltd.
DLF.NS,DLF Ltd.
DMART.NS,Avenue Supermarts Ltd.
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
GAIL.NS,GAIL (India) Ltd.
GLAND.NS,Gland Pharma Ltd.
GODREJCP.NS,Godrej Consumer Products Ltd.
GRASIM.NS,Grasim Industries Ltd.
HAL.NS,Hindustan Aeronautics Ltd.
HAVELLS.NS,Havells India Ltd.
HCLTECH.NS,HCL Technologies Ltd.
HDFC.NS,Housing Development Finance Corporation Ltd.
HDFCAMC.NS,HDFC Asset Management Company Ltd.
HDFCBANK.NS,HDFC Bank Ltd.
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.
HEROMOTOCO.NS,Hero MotoCorp Ltd.
HINDALCO.NS,Hindalco Industries Ltd.
HINDUNILVR.NS,Hindustan Unilever Ltd.
ICICIBANK.NS,ICICI Bank Ltd.
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.
INDIGO.NS,InterGlobe Aviation Ltd.
INDUSINDBK.NS,IndusInd Bank Ltd.
INDUSTOWER.NS,Indus Towers Ltd.
INFY.NS,Infosys Ltd.
IOC.NS,Indian Oil Corporation Ltd.
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.
ITC.NS,ITC Ltd.
JSWSTEEL.NS,JSW Steel Ltd.
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.
LICI.NS,Life Insurance Corporation of India
LT.NS,Larsen & Toubro Ltd.
LTI.NS,Larsen & Toubro Infotech Ltd.
M&M.NS,Mahindra & Mahindra Ltd.
MARICO.NS,Marico Ltd.
MARUTI.NS,Maruti Suzuki India Ltd.
MCDOWELL-N.NS,United Spirits Ltd.
MOTHERSON.NS,Samvardhana Motherson International Ltd.
MPHASIS.NS,MphasiS Ltd.
MUTHOOTFIN.NS,Muthoot Finance Ltd.
NAUKRI.NS,Info Edge (India) Ltd.
NESTLEIND.NS,Nestle India Ltd.
NTPC.NS,NTPC Ltd.
NYKAA.NS,FSN E-Commerce Ventures Ltd.
ONGC.NS,Oil & Natural Gas Corporation Ltd.
PAYTM.NS,One 97 Communications Ltd.
PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.
PIDILITIND.NS,Pidilite Industries Ltd.
PIIND.NS,PI Industries Ltd.
POWERGRID.NS,Power Grid Corporation of India Ltd.
RELIANCE.NS,Reliance Industries Ltd.
SBICARD.NS,SBI Cards and Payment Services Ltd.
SBILIFE.NS,SBI Life Insurance Company Ltd.
SBIN.NS,State Bank of India
SHREECEM.NS,Shree Cement Ltd.
SIEMENS.NS,Siemens Ltd.
SRF.NS,SRF Ltd.
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.
TATACONSUM.NS,Tata Consumer Products Ltd.
TATAMOTORS.NS,Tata Motors Ltd.
TATAPOWER.NS,Tata Power Co. Ltd.
TATASTEEL.NS,Tata Steel Ltd.
TCS.NS,Tata Consultancy Services Ltd.
TECHM.NS,Tech Mahindra Ltd.
TITAN.NS,Titan Company Ltd.
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.
ULTRACEMCO.NS,UltraTech Cement Ltd.
UPL.NS,UPL Ltd.
VEDL.NS,Vedanta Ltd.
WIPRO.NS,Wipro Ltd.
ZOMATO.NS,Zomato Ltd.
